label,clean_tweet
2,اللهم ان هذا منكر ربي عاطي خيرو البشار راهوم يحرمونا منو
1,اللي عندهوم 65 ممنوع يحجو حصة الحجاج المغاربة هاد العام 45 فالمية واللي يمشي ضروري يكون 3 جلبات كورونا وها التفاصيل كولها
0,أسفي حاضرة المحيط وأفضل مدينة المغرب وشمال إفريقيا
1,safi ssalina mafia li ysada3 rassi fado jo9a 3liya hhhhhhhh
0,سعدوشية افتخر
0,شهية طيبة ميناء الدارالبيضاء
1,لطناش الفرنسيون صوتو فالانتخابات الرئاسية قل المرة الفايتة 2548 بالمائة
2,tani haja fach kharjat farha kanat f 3ayniha tgoul 3arss 3andha skatna likom
2,je crois que zakaria fahham taykdeb impossible ykoun hadak le resultat dyal mghrib no way nass tayswto bezzaf
1,هجوم ارهابي اعتداء مصطي وواش يعاون اليمين المتطرف يوصل للاليزي؟ ضرب قس بموس فنهار الانتخابات الرئاسية ففرانسا
0,حبيبي وينو مشتاق عيني تتلاقيه تسلملي عينو يسلملي قلبو فيه
2,saaaaaa7iiiiiiii777 ma3mro w9f m3a hanane wala souka wala ihab
0,هكـذا تبـدو مـدينـة  إفـران المغربيـة  فـي فـصـل الشتاء والتـي تصنـف ضمـن أجمـل المـدن العـالميـة حيـث المساحـة الخضـراء ونظـافتهـا
1,ghir siri ila jat ibtissam nfy9k hhhh
1,ضربة جديدة مافيات الحشيش تضبطات كثر طن فطنجة
2,nti hmara w mreda wbagha tjbdi sda3 aji mrehba tfo syad kayhder 3la haja fchkel o nti kadkhli lbrhuch flhdra htarmi
0,بنكيران ماعرفنا عنه صدقا
2,قناة تأسست لتحليل المجتمع المغربي وإفساده بدعم جهات أجنبية ذات أهداف ماسونية
2,fadel attaque hadi sad3atni
0,حلوة ههههه أغنية روووعة يا عسل يا مغربي سعد لمجرد راك اقتل العدو يا رايس هههههههه أغنية حلوة
2,هدا اسباب الموت والامراض والهجرة والدعارة والتسول والاجرام ووو ونعم التوزيع العادل إلا فلا
0,waaw hadechy adna fel maghrib o d
0,،اصمدوا الظلم ورالفرج قريب ان شاء الله
1,مورننغ تيوزدااااي
2,hhhhhhhhhhhhhhhhhhhhhhhhh khatira hanan machi bhalk hbila p
1,hadchi li bgha i3tina had si twitter
1,لمكافحة غسل الفلوس وتمويل الإرهاب الداكي والجواهري سيناو على مذكرة تفاهم وها تفاصيلها
0,الكلاخ المبين
1,غاتوصليها ماتنعسي
2,قمر اصطناعي ب500 يورو، تنظيم بطولات وتظاهرات جدوى منها، مشاريع ضخمة افريقيا يستفيدوا منها فقط الاجانب، برلمانيون ومسؤولون يتمتعون بكل الامتيازات المادية والمالية واطفالنا يموتون بالبرد الازقة والشوارع، تكون كاعي هذا البلد
0,تحياتي الدكتورة منيب
1,اوجار  التجمع الوطني للأحرار نظم أكبر عملية استماع للمواطنين فتاريخ المغرب السياسي وإضرابات الأساتذة المتعاقدين فوضى ماكاينا فشي فالعالم
1,فضيحة بادي تعاودات بمنطقة الغندوري بطنجة بعدما كشفتها گود معطيات جديدة ورطات السي دي جي الفضايح والتلاعبات
1,نزار بركة ومعاه صحراويين الميزان شاركو فمؤتمر الحزب الشعبي فإسبانيا وهضرو على مجهودات المغرب فملف الصحرا
2,الخارجية للملك الداخلية للملك ولبنكيران السكن الوزاري سيارت مرسديس و بالبلابلا
0,جبوبتي عفاف اسعدك الله  ننتظر قدومك مدينة الجديدة
0,إذا بقي على هذا المستوى سيحقق جائزة أفضل مدافع الكالتشيو كما فعلها قبل
0,مغاااااااربة نفتخر إنشاء الله نصل
2,قولها ليهم، راه بنادم راس كياص، الأب ديالي استاذ ثانوي مند ستينات، سيد بنى فيلا ديور قرأ جل ابنائه ف
0,مبروك يابني اتمنى ان ابني مثلك اخلاقك تحياتي الوالدين سر هذا النجاح
0,موفقة اختي عفاف مسيرتك ومزيدا التألق والنجاح اتابعك منذ مدة عبر الانستغرام شاء الله قلبا وقالبا
1,ana rah dakchi li kandir dima khdam dlil
1,الحملة متواصلة على البزناسة ففاس آخرهم جاب الله والطويل اللي طاحو فيد البوليس وها المحجوزات  تصويرة
2,حسبي الله ونعم الوكيل فيهم بساند فيهم الله ينتقم منهم
2,البلاد الانًكلها خيرات وفيه ناس تسافر دول العالم على حساب الفقراء المتشردين  إنما ايّام معدودات
1,ah rja3 kan 5asni nda5l num ta3 tel
0,أشكرك على صدقك تفانيك وأسأل الله أن ينجيك سوء وأن يجعل لك طريق لنجاح إنه سميع الدعاء
2,لاحولة ولاقوة بالله وكان هؤلاء الاطفال لييوا مغاربة لايطلبون مأوى وتعليم علموهم وابحثوا لهم شغل والا فانتظروا مزيدا الاجرام بالشوارع
1,زعنا مكانش ليقولي وف القدر اتمناك قدري مكانش خليتلكم le dieu
1,hhhh lah yster mn zinha yla gelsat fedar hhhh aussi aussi 3ellah soon
0,واكيد ان شعبنا لن يسمح لرجل مثله بالتنحي رئاسة الحكومة
0,روعه
1,ارتفاع قياسي مقارنة بالعام الفايت الداخلية الإسبانية كشفات فتقرير خاص الحراكَة اللي دخلو لمليلية فهاد الفترة 2022
1,nta hwa kimmo tuolema
0,habibti kanouz ga3 mgharba kayhma9o 3lik w9tach atzourina
1,nonsakn f mohammedia anjibou f 3rsi 3la 9blk
1,hhhhhh ggltha lihom chehal hadii kn kherjt mezyan wa3er 9ble zen li fik kon daroha fe film
1,إضرابات أساتذة الكونطرا الحكومة مزال كنقولو نكلسو بشكل حضاري مصلحة للتلميذ ولبلادنا واللي الإضراب يتقطع المانضة
2,كيانكم اضعف أن تكون لكم عاصمه، انتم حثالة العالم
0,مارادونا يبقى الأفضل عبر التاريخ
0,شكرا لكلية الناظور على تنظيم هذه الندوة
1,wach hadchi du marche badr vrai
2,قولوا را المواطن يغتصب
0,yallah alkol hojoum 3la had l page rache7o hanane
1,rabii dima jay mn jihtna kamal 9lk ana mab9itch mn lajna monadimaa tasslo b mihrajan
2,مزال صغير على فريق كالريال مدريد شوف الحركة الرياضية ديالو ههه
0,الله المستعان ولاحول ولاقوة بالله اللهم احفظ بلدنا الغالي المغرب وملكنا امير المؤمنين محمد السادس وجميع العيون الساهرة على هذا الوطن
0,حفظك الله لنا شافاك عافاك بارك عمرك يا الملايين
2,inti o yaha mahchamtoch chi jiyin hata l3andu o ka thadro fiya
0,يسكن الصحراءاوليس الصحراويون المغاربة انفسهم لماذا تريد الجزائر والبوليزاريو حرمان الصحراويين ثروات بلادهملعبتكم السياسية فاشلة بكل المقاييس فلن تنخروا ولو حبة رمل المغرب الشريف
2,النهاري وامثاله ياكلون الغلة ويلسون الملة
2,طلقو ولاد الناس وكفى الظلم لقيتو باش تعمرو الحباسات المجرمين والمفسدين والمرتشيين مهرقين دوزتي الله يهدينا ويهديكم لما الخير لهذا الوطن
1,ouiiiiii rak rir chhal ma dkhalti l twitter tbedelt 3lk hhh
2,ya akhi hadak wjhak wla gfak kont na7tarmk lyoma ta7ti mn nadari ya3ni ba3d kol hada watara anna taraji yasta7i9 al kass f you
1,مركز ابحاث وضعية الصرف الابناك المغربية تحسنات
1,ههههههههه كيغندير نشرح لك
0,بسلامة رجوع
1,hhhhh hta haja ma b3ida aham haja tafahom o mat3raf lmktab ach mkhabi
0,وين 907 عضو سمعوووونا مبروووك
1,tamchi t9awad f stin dahia
2,الزاكى كمدرب صعيف جدا
2,ana ra ntoma li mrdtoni ila ma3jbkomch chi tasarof ntjm3o o ngoloh liha f social media o manwdoch fitna binatna
2,مناظر مخجلةيكفي ان تسقط اولى قطرات الغيث الذي ينتظره الكل تغرق شوارعنا وتشل الحركة كاشفة بؤس تجهيزاتنا وتردي حالة شوارعنا كبريات مدننا التي تجعلها بضع ملمترات تئن تتنفس الماء
0,waw basoma 9albi saghir la yt7amal
2,rah nti hotalat lmojtama3 siri chofi ghi hdrtk wili m3amn hdrt rapha w hanan wli jay wa3r wa3r yalah tirii
1,la tomatil lmaghrib safi khalihom y9olo li bghaw
0,نجم يستحق مكانة كبار الكالتشيو
1,matkounch kat khaf ali ghir it3adda 4lik chi hawed sur twitter goulha liya
1,la hadi wydada al oumaa site na3ess makigoule walou wlaa ma3ert wakhedine conge
0,احترمتي لهد المودرب الدي اعط الشيء الكتر الكورة المغربي
2,حراك الشعبي المبارك المقدس عرى وشوه وفظح الدولة المخزنية
2,loool chorale w comparse hhhhhhhh single samo 3ala ra2y si7ifa ljazayria chkoun hadik charfa li m3a kif ma 9al jomhor samo
2,hhhhhhhhhhhhhhhhhhhhhhhhhh relaax relaaax jaya jawla f europa w jay mawazin hhhhh kheliw lih chwia dyal sab w lm3your lol
0,t2akadt beli hena a9wa jaych o a9wa fans daz f mawassim starac netmanaw neb9aw dima comme a
1,جنايات فاس ضربات شيباني اغتاصب بنتو بـ7 سنين نافذة
1,ضربات فالزيرو مسؤولة إسبانية قالت بللي ماكاينش اتفاق المغرب والصبليون كيحدد فتح الحدود ديال مليلية وسبتة
2,kimchiw 3and condidat f fia khra o kitbadlo tasswit binathom hna ftina 3lihom had ray yahad mmatssawe9na
1,مواقع اسبانية  تحركات أمريكية السباب فتغيير اسبانيا موقفها قضية الصحراء ودعم مبادرة الحكم الذاتي
0,بنكيران ماكاين حسن ماشي هضاضايضاي
0,وديما العدالة والتنمية
2,مقتا الله ان تقولون مالا تفعلون
1,zwina rah hdar m3a fans 9alihomhtarmo ay wahed ohdar 3la dowal hna malna
0,الشعارات التي ترددت المسيرة
1,that moment mli chi be3louk fl7ouma ki goli 3emmi
2,هذي حقيقة الارامل المغربيات باعت شرات فيهم حكومة بنكيران
1,3tito bloc mn ayam lwla llikinbeh fiha o 3a9 o3tani bloc hh
2,ewa n9ess mn lhedra dl bnat bach nmeyzo binatkom
1,jaybin lina hadrat wa7d maghribi 9alik makatcharfoch ibtissam odonya okif l3ada mchadin m3ah
0,لقد أخطأ وزراء حزب العدالة والتنمية تآمرهم على بنكيران وسيفقدون دون إستتناء مناصبهم التي أوصلهم اليها هذا الزعيم الحقيقي ولن تتاح لأي منهم الفرصة لإسترجاع هذه المناصب التاريخ يثبت لنا انه لأي أن يصبح زعيما
0,هذه حقيقة يعرفها الصغير الكبير ويحاول الذي يدعي الغباء أن يصدقها سواء قالها بنكيران انكرها
2,مغربنا للأسف شيء فوضوي،
0,منظر حقا راءع ماشاء الله على بلادي
1,بلينكن قلب الدزاير إدارة بايدن مابدلاتش موقف واشنطن الرسمي قضية الصحراء ومبادرة الحكم الذاتي المغربية الحل الأكثر جدية وواقعية ومصداقية
2,لم يبقى هناك طبقة متوسطة ،لقد سحقتموها بسياساتكم
2,katbghi chi haja katl9ah howa o hia raha kbira o charba 3e9lha mabghatouch ikon son ami ra ghat9m3o o ila dar chi jeste hia
0,nhar daz wa3er an diab casablanca morocco
2,مغربي مغربية السعودية تعنف وتظلم وتعدب وتقهر وتحقر دولة ظالمة للظلم للمغاربة الموجودين هناك لماذا يستحقرون المغاربة
1,madanit natfarqu man ba3d 3ashratna ya khti ualaftek uanti ualaftini 3biti m3ak alqalb yali nsistina u m3ak dikrayat manansak matansini
1,ana wahd sahbi makanch 3endo pc kan dima kiji 3andi bach ihder m3a wahd deria hta tsa7bo 3ad 3tani tissa3 hhhhhhhhhh
2,لك الله يا وطني، اصبروا يا إخواني أشكركم دمتم أوفياء لنفوسكم فضلتم هذه الحالة على التجارة المخدرات السرقة الأعمال التي تكتسب حرام يبقى مصيرها السجن
0,تستحقها يابن بلادى
0,صوتي منيب
0,مبروك يا سعد تستاهل اكتر كده لانك فنان عالمي الوطن العربي يفتخر بك
0,chi kayfarah ikon ta3awan bin mghrib omasr mais ntmna tkon ghniya mghribya lol
1,استئناف حركة النقل الجوي أكثر و228 ألف مسافر اللي استقبلاتهم بلادنا فهاد الفترة
2,3rfti la majitouch lmghrib rah ma douwztou la carriere la wlou 3rfti chnahya ma dou9ouch rfissa lbstila w chbakya rah ma 3chtou ma walouuu
0,بنكيران والله لن تنزعوا حبه قلوبنا
1,ghaliban ljassous kaykon chaf chrono f idih f rec gha howa dak l chrono 9riba t9ada lih l7jra wla m3douda
2,جات علية سدوها ناس ولاو كيغيروا مواقف سياسية إقتصادية بواسطة الإعلام ديالهم هاد دوزيم غا أشمن برنامج تحيد أشنو إبقى
2,قصة مُثيرة عمق مدينة الدارالبيضاء لشابة تحكي بوجه مكشوف وبدموع الحكرة معاناته
1,منتخبون كيتسناو العزل وحدين منهم نقابيين ونافذين مبغاوش يتفارقو مصالحهم وبغاو يتجاهلو مذكرة لفتيت بالحماية الحزبية ومصدر لـكود تضارب المصالح وقتو واللي ماستاقلش عندو العزل
1,3afak chno daira fsmya saftihali fkhas ila bghiti lah ykhelik ana nhar kamel wana ntsenaha 3afak
1,الدكتور التازي ومراتو والمتهمين اللي فقضية النصب على المتبرعين كيواجهو تهم جنائية وجنحية ثقيلة التفاصيل
0,كم جميلة
2,ah wila briti lhchich hbti ltarast ola tmstya hitach ana wld agadir walkin ana sakn frabat
0,أغانيك وخامة صوتك رائعة شاء الله عليك
1,momkin a hbibti na3raf 3lach hanan rahit bin rajlin mafhamtch
2,ترمب يحترم يقدر العرب والمسلمين
2,البحث العلمي أصبح مهزلة
2,o nti be3ti le7mek 3la khaliss
1,بعدما تنصب الأمن الوطني طرف مدني ضدهم محكمة بنكَرير غتناقش ملف معتقلي المدينة الخضرا
0,أجمل وانظف الكلبات كلبات ديال اغاني سعد لمجرد
1,hada howa sa7i7 ou lakhor mas7ih
2,la zine la mji bekri
2,هههه ضروري بإذن الله  لفقر را عيب ؤ عار ؤ حشومة
0,فصل آخر فصول المتعة السياسية رجل الصدق والوفاء رجل المواقف والانجازات سنكون تلموعد وفقك الله
1,التطبيع والصحراء شراكة مغربية إماراتية فالصحة آيت الطالب والسفير الإماراتي عطاو انطلاقة خدمات مركزين صحيين بعين عودة لفائدة ساكنة تقدر بــ 75000 نسمة
0,هل أن الملك محمد السادس سرق قلوب المغاربة ؟
2,مغرب موازين مغرب الأقمار الاصطناعية مغرب قطار الفائق السرعة مغرب الاستثمارات إفريقيا مغرب تنظيم كأس العالم يتوفر على بنية تحتية جيدة هههه،
2,أفهم لما نحن المسلمون نقلد الغرب فقط الأشياء التافهة للأسف إبتعدنا كثيرا ديننا
0,w matgolich hassdha w dakchi li wsslat w blaa blaa hanan w ihab la 3ala9a aghanih wassla fen w b fanso l hamdollah
2,حكومة الملك وكفى
0,انشاء الله اضمن الاساسية الميلان ورجع نجومية
1,بوتين هضر تبون فأوضاع الشرق الأوسط أوكرانيا وماجبدش ملف الصحرا
0,للمملكة البرلمانية
1,la ahbiba fans mrid howa li ki2alaf 9isas ima laknti katbghi hanane bohdha hadakchi so9ak ahbiba yakfi anak tchaj3iha
2,wa ana ghir had liyamat mamsalyach lhadchi ama dik hadra dial 7choma kont ta ana ngolha
1,فرانسا قالت رئيس المخابرات العسكرية اوكرانيا
2,واخا فب مدينة وسخوها بلكلاب سطوحة ديال لعمارات ولفاسد واستهلاك المخدرات
2,عيب حاجة ماتفرح، حيط أساس المياه تغمره، المهندس، المقاول، الجماعة
0,سعد المجرد موفق واكيد دائما وأبدا الله ينصر سيدنا معاك
2,يامُتخاذلين ياأعداء الإسلام والمُسلمين
1,mrach7a mais taswit mansawtoch daba hta n3afo dak chi m3adal mazyn just mon avi
0,المَجدُ قادم وهذا شك به وانت أعلم بهذا والكل يعلم، بعدما اجتهدت وتعبت تستحق ليست فقط هذه الجائزة الصغيرة وانما الجوائز تستطيع ان تفيك حق تعبك وجهدك
1,ماطيشا الگرون وفاتت 10 للكيلو وتكلفة الحريرة ولات غاليا والمغاربة كاعين على الحكومة
2,هاته الصورة تعبر مبالاة اعضاء الحكومة بمعانات الشعب ليكن صوتنا كالطوفان لنعاقب ناهبي اموال الشعب
1,الحموشي خلق فرق أمن النخبة لمكافحة العصابات فناظور وتطوان والجديدة
1,تضارب المصالح فكولشي المجلس الجماعي لتجمع العاصمة إطار فشركة ريضال نائب العمدة ورئيس لجنة تقنية ممثل الشركة
1,هدا والله ليكيب ديال الدكتور راؤول معندهومش  المهندسين صايبو الماكينات ديال التنفس المعامل صايبو الكمامات بقا
0,زدتوا بنكيران هوا رآه حاجة انا غنصوت مغنخليش الفرصة لوحداخر يبدا
1,matsowloch l3ardja w 3lach ma mtorkhach 3wicha badji jabtha 49 stylo makanch lmjarden microbe 3lach zowerti lwati9a
2,انتشار الاجرام شغب الملاعب نهب المال العام
2,klamk hwa lkbir a bro walakin ra maghayrb7och
1,تقرير  سلاح الجو المغربي قريب يتسلم الإمارات الدفعة الأولى طائرات ميراج 20009
1,khoia had photo li dayr nta hia l7al
1,aji n9raw langlais b darija videos li ay3lmok kola nhar 3 expressions yalah come and join us
1,عائلة خبرة فالتزوير قاضي محكمة فإسبانيا استدعى زعيم البوليساريو وها علاش
2,شاب الرباط بدون عمل تم رفض طلبه للحصول على اعانة الراميد حاجة مساعدتكم شراء مواد غذائية أولية يع
0,انا اتق السيد عبد الإله بن كيران رجل خيرات رجالات الوطن يحارب الفساد بقبضة حديد اللهم اعنه وسدد خطاه التقدير والاحترام لهدا الشخص
0,إنه
0,رحم الله العارف بالله الفقير إليه الولي الصالح سيدي عبد السلام
1,mafhemtch lach madarch l betty follow
0,ترليون مبروككككككككك ابو تياغو
2,العذراء ليدنس شرفها لو حولها رجال، هدا القرار عرى العرب أبانهم
2,غريب امركم يا صحافة العار وقنوات الصرف الصحي
1,ltoile du sahel wa9ila kano baghin iwnso taraji f lcaf
2,كفاكم تمتيللا على الشعب المغلوب على امره نريد ملموسة فالمواطن داءما الضحية
2,انها قمه ستبلاد التلاعب بعقول الناس
1,تقرير رسمي الناتج الداخلي الإجمالي بـ66 فالمية وهاهي وضعية قطاع لوطيلات والريسطورات والكوميرس فهاد الفترة
0,ouii latifa fenana kbira omn wahed nahiyahadik hiya khedmatha kathajem fenana f ga3 mo9abalatha walakkin hiya majebdatch
1,الحكومة الاسبانية مغاديش تنشر التفاصيل المتعلقة بسبتة ومليلية فاستراتيجية الأمن القومي فالجريدة الرسمية تطبيقا لقانون أسرار الدولة
1,howa l matal kygol chkon chkr fik l3ros galt mi wkhalti wlhazara jarti db rj3 bnadm ichkro rasso wyt9 bhdrtoo
1,syed galia kanhder m3a jemti o ana ngolih ina wehda fihom alors que hia katsm3 o kat3rfni mn fou9
1,svp li maghribi o 3ziza 3lih ibtissam o 3endo nefss 3la bnat blado yedir unfollow l hadak konan f instagram et merci
2,شعب حافظ مافاهمش
0,وتحقق نجاح اكبر اللى حققته السنة اللى فاتت لانك شخص تستاهل النجاح والتالق
0,hada ahla selfie sara7a yala
1,safi db bla mayjiw ghayb9aw tama 3 fuck ashnahia one direction bla zayn malik o khraj b sbab lfandom
2,زيد ايها الامازيغ تذكروا ان بنكيران اهانكم حين احتقر السوسي الحانوت وضحك
0,كلنا معك
1,kifham l3arbiya kihdar biha howa rah maghribi kan fi lmaghrib 3ad mcha mericain dirih fi youtub jaboh sabah lkhir ya 3arab
1,lol si kant 9riba jy en suis sure mghrb ghaydirha
1,diireliya follow wla ndba7elik hhhhhhhhhhhhhhhhhhhhhh
2,ila nsito nfakrokom walakin la7enach li ki horokom inchallah cl ou botola 20
2,الله يلعنكم يا صهاينة يا أولاد الكلاب
0,احترافية فالتصوير بتبات وتنسيق جميل جدا للفيديو انيق حبيت موفقة
2,هذه نتيجة دعوات المغاربة على 2m تريد افساد المجتمع وتدعم مخالفا لقيم المغاربة
0,مثل هؤلاء الشيوخ نحن طريق التقدم الحمد لله
0,kantmna likk twafi9 yannsine vraiment the voice ohna faghorin bik lank kat matal sahra lmghribiya o le maroc bravo lik jtm
2,الوداد البيضاوي لم بقدم شيء كأس العالم للاندية
1,cherbo 3assir lavoka 7it mezyan framdan barnamaj si7ati tu connais le prix de lavocat au kilo connasse
1,الغش فالامتحانات المهنية خرج على بوليس فـالديستي حموشي وبخهم ومنع يدوزو الكونكور لمدة 3 سنين
0,انيقة جميلة مشاء الله طلب ممكن
0,بـلادي بـلاد فـنّــة نسمة روح الجنّة
0,dakchi alach meziane tmchi dir footing m3a 22h
2,ماتمشيش تشوف أبناء الشعب اللي دماياتهوم فالزنقة سايلة، زرواطتك هاديك اللي ضرباتهم، نسيت
2,يا للهول الأمس القريب كنت أحسب أن الحمير علاقة لها بالفلسفة الفكر الحر، أما الحالة هاته، فسأشد الرحال بقعة كوكبنا يوجد بها مثل هاته الأنواع الهجينة الحمير
0,moroccan and proud plzzzzz kantmenna ye9bel ghadi tchher oghnya enta m3allem f
0,تبكي يا فلسطين على حالك حقك ترفعي راسك بأبطالك القدس لنا شاء شاء وأبى أبى القدس
2,3inin k7alo b tekhmam w sshir lil
2,فالحقيقة الأحسن تبقي رئيس الحكومة حيث إحساس كيقول إلي مبقاش الحزب ديالكم فالرءاسة  توقع حاجة  كتحسوا بالفقير حيث كبرتوو الفقراء  الله يوفقكم علي فعل الخير وتحياتي
1,ssi hamid ramadan mazal ma hak 3la fettah alaoui
0,mrahba b l ghali f tvv
1,تفاصيل تفكيك ريزو كيتاجر فالكلاوي وأعضاء بشرية أخرى تحال على الوكيل العام فكازا
2,المعاصي التي تغضب الله تقع المغرب على طول السنة من نهب الميزانيات تفقير الشعبلا صحة لا تعليملا أمن
0,بنكيران ولاية تانية دائمة إنشاء الله
1,وزعامة هادي فكازا شفر طوموبيل فسيدي مومن بعدما خلاتها مولاتها أمارش  تصويرة
0,galek darija machi louchatrs belle photo sidi dites fin kayna
1,mojarad raeyi li baghin dio m3a towton omachi m3a abdaslam rahkhassha tbda mn 3alam 3arabi 3abach tchof 3alamiya
2,منطقة تفتقر للبنيات التحتية المهمة مثل الطرق المؤدية هده المحطة بناء فنادقمنازل وأكواخ سياحية إنشاء مطاعم ومقاهي تليق بهدا المكان
1,la ra dkhel lkhedma tani
1,7na f casa kent ghir ana ou s7abi hhhhh
2,الزلزال لم يكن هناك حزب اسمه الأصالة والمعاصرة إلياس
2,فيلم الخيانة الزوجية فيلم تجاري فقط يعالج مهم
2,وكواك على ثقافة الظلام
0,العماري شباط مكين فرق
1,ولدو بزناس ديال الكوكايين محكوم ب30 عام لابيجي فالناظور طيحات شخص كيبتز الناس بذكر سمياتهم فمحاضر البوليس
2,اكبر صهيوني العالم الخنزير طرامب
1,غتزيد تشعل باريس الجيش المالي اكتاشف مقبرة جماعية قشلة فرنسية سابقة
2,لكم أن المسؤولون يهتمون بالبشر فهم مبالون ولو مات الملايين ولاكن همهم ملأ صناديق الدولة جيوب المسؤولين وموظفيهم الصغار إنهم عصابات تحكم بلدنا الحبيب
2,اليهود قالوا ع الله أن يده مغلولة بخيل
2,cest l imagine dial dak lkassoul li ta yebe9a yatlab le premier de la classe bach yewerih f l examen
1,ana saybto ghir bareh hhh
1,ana akhti wallah hta kansawatt ana ma3andich nb9a n9ol anani kansawatt bach hta wahd mauy3awal 3liyaa
0,bsa7tak ya li f lgharba
2,العيب العماري العيب انتخبوا وأوصلوه يتصرف أمورهم
0,ya khtiii ana rah ana li 3aycha hena w chayfa kolchi w ma famille f l3yon ma3arfin walo 3la hadchi w 3aychin w baghin bladhom
0,chokran radio aswat listidafat ibtissam tiskat
0,جمالك واناقتك نجوى
2,سامسونغ لاانصح بشرائه ابدا ،اللهم اتي بلغت
1,3lach katjawbo bhal had anwaa3 kifer3no ghir f social mdia hmdl libgha chi haja kil9aha
1,3la ma sme3t mn kexols l9adya dyal streaming stage makate7sbch f points ghir kan khata2 cha2i3  and yees mcha9ef m
1,واشنطن الرباط عندوها استقرار وكتساهم فالامن
2,تفوووووو على حالة وجاه النحس الجنيات
0,صاحبة صوت ذهبي ربي يسعد ايامك
2,yarbi salama kandam lach kandkhol ldak l facebook l3fooo
0,وإذا أحـــبـــك واحـــد فـــهــو أنـــــا
2,فيما قريب سنجد أنفسنا وضع كوضع الدول الثنائية الهوية ويبدأ الصراع وتدخل الأجانب على أشده
1,7it kan kahsso yitla3 yighniomab9atch lwa9t
2,65 sout da3 ana fe9souuuuuuuuuuuuuuuuni rah khasna nbe3do 7it justin bieber fe aya la7da rah yetla3 sarouuuuuuuuuuukh
1,makaymrgoch kayshabhom mawazin ay wahd imchi lih
2,عارفينك بيدق اسي بنكيران
2,هاد السيد ناقص كيلعب لراسو كيكتر المروغات أغلبية قتل الهجمة تعرابت او السعيدي حسن منو
1,l9hab bezaf ratel9a wladhom finma mchiti dakchi 3lach 3adna black mentalit casablanca socrate
0,الصراحة، احسن سياسية الساحة الحالية احسن حزب، ببرنامج واعي جريئ
0,ولاية تانية ان شاء الله احنا الحازقين كنشوفوا الحكومة الطريق الصحيح ولهدا نحن ندعم بن كيران
2,متى معاناة افريكا
1,derritk f jenbk sa7by benti mayl
0,الحـــب إلا لـوطــني الــوفاء إلا لملـــكــي
0,معلم كبير تستاهل ملك العالم
2,rah lmara lwahida li kan ta3li9 andha alf hya nhar chba3na fiha m3yorr kamlin berdna 9albna ou jina mesaknn dahaya hhhhh
1,kan 7awl w saffi
2,nariii nti li 9teltih
2,bghit ne3raf fin wsel tol dial wednin selami hit akbar hmar 3arfato lbacharia
1,تطورات جديدة فقضية إقالة رئيس شعبة القانون العام ففاس محامي لـكَود تحالت على المفوض الملكي
2,اذا دموع محمود عباس حقيقية جنازة بيريز فكذلك دموع بنكيران ههههههه
2,fe khbarek 3enzat 9eldouna 7ta fe da7k yalatif bghina chi mera yebtakro chi 7aja
1,cheb rayen makaynch ghir nti fi had dania vorza youness
1,وزير خارجية اسبانيا  عودة العلاقات الطبيعة المغرب ساهم فتقليص وصول الحراگة بـ 45 المية
0,أستاذ معتز شكرا كتير على البرنامج الشرف الحقيقي والشفاف
0,روعة
0,شاء الله
0,omaghribna kolo zwiin wad imlil jiht marrakech o ouarzazat p fes ifrane titoune araech assila bezaaf
2,كفى كنزها البنوك فستكوى بها جباهكم جنوبكم ظهوركمام الدين عندكم فقط الشفوي الشفوي المظهر الخارجي
1,cheft ghir tssawer ha9e9 mzn o ghatchof jiha kerch byaad kolo
1,مزرعة سرية ديال البيتكوين والاتجار فالمخدرات والسلاح وتبييض الاموال ورطات مغربي ريزو اجرامي كبير فاسبانيا
2,hna baghinha hakak nti ach dakhlak baghinha tbos wdir kolchi ach khcha hmartk 3tiha ghi tisa3
0,البنت عندها الحق لان الانسان الناجح دائما يتعرض الانتقادات الفاسد يقف طريق فاسد مثله العكس الصحيح انساء الله ولاية ثانية لحكومة بن كيران
1,z3ma raki nti bayna fik mn tsawrk kbira wb39lk wach kich3o nas haka
1,tjla lmhm wahd lkarita bhal minaj w safi
2,la valise biensur yallah bara bara hadi akhir mara
1,3elach hetal daba 3ad hadi jaya te3tader 1 duo 9arab samo zit baghi yerbe7 men 3endna 2 kat7lem teji l chi mihrajan
1,كاميو مشارجي مطيشة لموريتانيا الداخلة
2,الاردني لموسخ اخد درسا لن ينساه سطيف واكل اكل الحمار صدقوا عندما قالوا صعلوك فوقاش كنت تفهم دخلك ميدي 1 تفهم الصحافة
1,وكالة أنباء دولة العسكر هاجمات تقرير لـاليونيسيف وقالت انه محسوب على المغرب ولن يمر بسلام
1,ana ma3arfach nti 3arfa
2,اينكم يا مسلمين؟ بدل التغني بالقيم والمبادئ الإسلامية والاخلاق الراقية وبالمغرب دولة اسلامية أظهروها لنا الأعمال الخيرية وساهموا التنمية البشرية وادفعوا الضرائب وابنوا المدارس ودور الشباب بدل تضييع الأموال بناء المساجد التي منفعة منها
0,كلنا معك دكتورة منيب
0,nti soltanat l2akdemy khadmi mzyn owa5a tl3i 10 dlmrat jomhorak wohoch ranraj3oki wkhaliki dayman m3a rafayil dina kador bih
2,rahou yastakblou souhaila machi ihab hchouma
0,شكرا ماسكي
0,miam tanftr 3la ra7ti f chambre ou f9t 3la rahti vive le distanciel
